locale,lep species,lep species
bridge,morpho peleides limpida,1
bridge,norape sp,3
bridge,pachylia syces,1
bridge,pantographa suffusalis,1
bridge,parides erithalion sadyattes,1
bridge,phoebis trite,4
bridge,protambulyx strigilis,1
bridge,pythoniades jovianus amaryllis,2
bridge,rosema deolis,1
bridge,rosema sp,1
bridge,sarota sp,1
bridge,sematura luna,3
bridge,telemiades sp 3,1
bridge,xylophanes pluto,3
bridge,zaretis itys,1
bridge walk way (cafeteria side),automeris sp,8
by ambiental lab,neoxeniades molien,1
cabina 5,gonodonta sp,2
cabina tortuga,anomis sp,1
cabina tortuga,antichloris viridis,1
cabina tortuga,papilio sp,1
cabinas,xylophanes sp,2
calle flaminia,tigridia acesta,1
calle la loma,telemiades nr antiope,1
calle principal,eutolype sp,79
camino a las tablas_ sabalito coto brus,eois sp,2
cancha de futbol,acharia ophelians,11
canta rana,megalopyge albicollis,2
canta rana,quadrus cerialis,1
casa de murcielagos,hylesia sp,2
casa de sombra,spodoptera sp,1
casa de sombra_ experimento por,eois russearia,158
casa de sombra_ experimento por,gonodonta sp,3
casa murcielagos,apatelodes erotina,1
casa murcielagos,dasylophia sp,1
casa murcielagos,papilio thoas,1
casa murcielagos,quadrus cerialis,1
casa orlando vargas,manduca sp,1
casa rafael,automeris postalbida,1
casa rafael,colobura dirce,1
casa rafael,phaeoblemma dares,1
cc,caligo atreus dionisos,1
cc,catonephele orites,1
cc,cyclomia nr disparilis,1
cc,eois sp,3
cc,myscelus amystis,2
cc,tarchon felderi,1
cc 1000,quadrus cerialis,3
cc 150,eois nympha,3
cc 1600,eumorpha sp,1
cc 1600,scotura leucophleps,1
cc 1600,tarchon felderi,1
cc 1600,zaretis itys,1
cc 1800,anomis nr patagiata,1
cc 1800,cyclophora sp 2,1
cc 1800,eumorpha sp,1
cc 1800,gonodonta sp,1
cc 1800,ithomia diasa hippocrenis,1
cc 1800,oxytenis sp,3
cc 1800,zaretis itys,1
cc 2400 plot 24,eois nympha,1
cc 250,quadrus cerialis,2
cc 350,eois apyraria,2
cc 350,eois nympha,5
cc 350,eois sp,1
cc 350,eois zenobia,1
cc 350,quadrus cerialis,2
cc 400,eois sp,1
ccc,adelpha celerio,1
ccc,anticlea sp,10
ccc,astraptes fulgerator azul,1
ccc,consul fabius cecrops,1
ccc,eois sp,1
ccc,marpesia petreus,1
ccc 0,anticla antica,1
ccc 0,anticlea sp,14
ccc 1000,eois sp,3
ccc 1100,eois nympha,13
ccc 200,eois sp,1
ccc 200,quadrus cerialis,3
ccc 300,heliconius cydno galanthus,1
ccc 300,hypercompe sp,1
ccc 400,palpita sp,1
ccc 450,gonodonta bidens,1
ccc 500,dioptis longipennis,1
ccc 550,eois nympha,1
ccc 630,zaretis itys,1
ccc 780,hygrochroma sp,3
ccc 900,elbella sp,1
ccl,anomis nr patagiata,1
ccl,bungalotis sp,1
ccl,catonephele orites,1
ccl,eois apyraria,6
ccl,eois nympha,1
ccl,eois sp,6
ccl,eois zenobia,5
ccl,pyrrhogyra crameri,5
ccl,quadrus cerialis,1
ccl,scotura leucophleps,14
ccl,tigridia acesta,2
ccl 0,marpesia sp,2
ccl 100,eois apyraria,1
ccl 100,eois nympha,5
ccl 100,quadrus cerialis,1
ccl 1050,eois nympha,1
ccl 150,quadrus cerialis,2
ccl 150,scotura leucophleps,1
ccl 200,eois nympha,3
ccl 300,automeris postalbida,1
ccl 300,eois nympha,2
ccl 300,eois zenobia,1
ccl 300,tarchon felderi,1
ccl 300,xylophanes sp,1
ccl 350,achlyodes bursirus heros,1
ccl 350,eois apyraria,1
ccl 350,eois nympha,3
ccl 350,ischnopteris bryifera commixta,1
ccl 350,mechanitis polymnia isthmia,2
ccl 350,quadrus cerialis,1
ccl 370,caligo sp,1
ccl 400,zunacetha sp,1
ccl 480,tigridia acesta,1
ccl 50,appias drucilla,5
ccl 50,chlosyne gaudealis,1
ccl 50,dismorphia amphiona praxinoe,1
ccl 50,entheus sp,1
ccl 50,euelasia regipennis,1
ccl 50,herpetogramma sp1,5
ccl 50,hylesia sp,16
ccl 50,oxytenis beprea,1
ccl 50,papilio birchalli godmani,2
ccl 50,phaeoblemma dares,2
ccl 50,pseudasellodes fenestraria,1
ccl 50,quadrus cerialis,2
ccl 50,scotura leucophleps,2
ccl 50,tigridia acesta,1
ccl 50,xylophanes chiron,1
ccl 500,euptychia jesia,1
ccl 600,eois nympha,2
ccl 650,telemiades nr antiope,1
ccl 700 plot 40,dioptis sp,1
ccl 750,ebrietas sp,1
ccl 750,gonodonta bidens,1
ccl 750,myscelus amystis,1
ccl 780,quadrus cerialis,1
ccl 800,dubiella fiscella belpa,1
ccl 800,eois nympha,2
ccl 950,astraptes fulgerator azul,1
ccl 950,quadrus cerialis,2
cen,automeris postalbida,1
cen,consul fabius cecrops,1
cen,cyclomia nr disparilis,1
cen,dioptis longipennis,1
cen,disphragis nr albolineata,1
cen,eois apyraria,27
cen,gonuris flaminia,1
cen,historis odius,1
cen,scotura leucophleps,1
cen  50,euptychia jesia,1
cen 0,quadrus cerialis,5
cen 1,nessaea aglaura aglaura,1
cen 10,quadrus cerialis,1
cen 10,urbanus nr pronus,1
cen 100,dyscophellus phraxanor,1
cen 100,eois sp,1
cen 150,anthoptus sp,1
cen 150,automeris postalbida,1
cen 150,battus sp,1
cen 150,omiodes sp,1
cen 150,quadrus cerialis,1
cen 150,temenis laothoe agatha,1
cen 151,omiodes sp,1
cen 152,omiodes sp,1
cen 153,omiodes sp,1
cen 154,omiodes sp,1
cen 200,amphimoea walkeri,1
cen 200,eois russearia,5
cen 200,quadrus cerialis,4
cen 2009,consul fabius cecrops,2
cen 2009,papilio thoas neacles,1
cen 250,dubiella fiscella belpa,1
cen 250,myscelus amystis,1
cen 250,quadrus cerialis,1
cen 250,tithraustes lambertae,1
cen 300,dioptis longipennis,1
cen 300,disodia sp,1
cen 300,dubiella fiscella belpa,1
cen 300,quadrus cerialis,1
cen 300,scotura leucophleps,1
cen 350,eois apyraria,2
cen 350,eois sp,4
cen 400,chlosyne janais,2
cen 400,morpho amantote,1
cen 400,phoebis argante,1
cen 400,scotura leucophleps,1
cen 400,tarchon felderi,1
cen 440,astraptes sp,1
cen 450,eois nympha,2
cen 50,anacrusis sp,1
cen 50,automeris postalbida,2
cen 50,brenthia sp,5
cen 50,chrostosoma sp,1
cen 50,euptychia jesia,2
cen 50,herpetogramma sp,1
cen 50,merotoma sp,1
cen 50,quadrus cerialis,3
cen 50,quentalia chromana,1
cen 50,quentalia sp 3,2
cen 50,zunacetha annulata,1
cen 50,zunacetha sp,1
cen 500,eois apyraria,1
cen 550,quadrus cerialis,1
cen 600,eois sp,2
cen 600,quadrus cerialis,2
cen 650,amphimoea walkeri,1
cen 700,eois nympha,5
cen 700,quadrus cerialis,1
ces,adelpha cocala lorzae,1
ces,adelpha cytherea marcia,1
ces,amphimoea walkeri,1
ces,aroma aroma,1
ces,astraptes sp,1
ces,automeris postalbida,1
ces,catonephele orites,2
ces,cyclomia nr disparilis,1
ces,desmia sp 2,1
ces,disgonia sp,2
ces,elbella sp,1
ces,emesis lucinda,14
ces,eois apyraria,3
ces,eois nympha,14
ces,eumaeus godartii,6
ces,euptychia jesia,8
ces,gonodonta sp,1
ces,lacostatia sp,2
ces,marpesia berania,1
ces,marpesia merops,5
ces,natada lalogamezi,1
ces,omiodes sp,1
ces,quadrus cerialis,2
ces,scotura leucophleps,21
ces,tarchon felderi,1
ces 0,hylesia sp,14
ces 0,marpesia merops,9
ces 0,omiodes sp,33
ces 0,periphoba arcaei,1
ces 1,marpesia merops,4
ces 10,chloreuptychia arnaea,1
ces 10,marpesia petreus,2
ces 100,caligo eurylochus solanus,3
ces 100,calodesma maculifrons,1
ces 100,catonephele sp,1
ces 100,cosmosoma sp,1
ces 100,dyscophellus phraxanor,1
ces 100,eois apyraria,1
ces 100,eois nympha,3
ces 100,eois sp,2
ces 100,nessaea aglaura aglaura,1
ces 100,quadrus cerialis,5
ces 100,tortyra cuprinela,1
ces 150,amphimoea walkeri,2
ces 150,anacrusis auleodes,1
ces 150,astraptes fulgerator azul,1
ces 150,automeris postalbida,1
ces 150,castilia ofella,14
ces 150,catonephele orites,1
ces 150,dismorphia amphiona praxinoe,1
ces 150,eois sp,1
ces 150,marpesia merops,3
ces 150,marpesia petreus,1
ces 150,myscelus amystis,1
ces 150,nessaea aglaura aglaura,1
ces 150,quadrus cerialis,7
ces 150,scotura leucophleps,7
ces 150,tithraustes lambertae,1
ces 2,marpesia merops,1
ces 200,acharia sp,1
ces 200,dioptis longipennis,1
ces 200,eois apyraria,1
ces 200,eois nympha,2
ces 200,eois sp,1
ces 200,omiodes sp,20
ces 200,quadrus cerialis,2
ces 200,spodoptera sp,1
ces 200,tarchon felderi,1
ces 200,zaretis itys,1
ces 250,astraptes fulgerator azul,1
ces 250,caligo sp,1
ces 250,cosmosoma sp,1
ces 250,quadrus cerialis,4
ces 300,amphimoea walkeri,1
ces 300,anomis nr patagiata,1
ces 300,aroma aroma,1
ces 300,astraptes fulgerator azul,1
ces 300,cyclophora sp,2
ces 300,dioptis longipennis,2
ces 300,diospage corilla,3
ces 300,emesis lucinda,1
ces 300,quadrus cerialis,2
ces 300,saliana sp 1,1
ces 350,adelpha sp,1
ces 350,amphimoea walkeri,3
ces 350,anomis nr patagiata,2
ces 350,antichloris viridis,1
ces 350,catonephele orites,2
ces 350,cosmosoma sp,1
ces 350,dioptis longipennis,1
ces 350,eois apyraria,25
ces 350,eois nympha,29
ces 350,hemiceras sp,1
ces 350,manduca sp,1
ces 350,quadrus cerialis,1
ces 350,scotura leucophleps,1
ces 350,tarchon felderi,1
ces 350,udranomia sp,1
ces 400,archaeoprepona sp,1
ces 400,automeris postalbida,1
ces 400,dubiella fiscella belpa,1
ces 400,eois apyraria,2
ces 400,idaea sp,6
ces 400,manduca sp,1
ces 400,nascus sp,1
ces 400,scotura leucophleps,2
ces 400,tarchon felderi,2
ces 400,telemiades nr antiope,1
ces 400,terenthina bradyae,4
ces 420,tarchon felderi,1
ces 450,adelpha ixia leucas,1
ces 450,eois apyraria,1
ces 450,eois nympha,4
ces 450,nystalea marona,1
ces 450,quadrus cerialis,2
ces 470,parebella macleannani,1
ces 5,quadrus sp,1
ces 50,astraptes fulgerator azul,1
ces 50,cyclomia disparilis,9
ces 50,cyclomia nr disparilis,5
ces 50,cyclophora ruficosta,1
ces 50,eois apyraria,6
ces 50,eois sp 16,1
ces 50,euptychia jesia,1
ces 50,gamelia septentrionalis,1
ces 50,herpetogramma sp1,3
ces 50,marpesia merops,2
ces 50,pachydota sp,1
ces 50,phanoptis cyanomelas,1
ces 50,quadrus cerialis,1
ces 50,scotura leucophleps,5
ces 50,semaeopus nodigera,1
ces 50,spodoptera sp,1
ces 50,tarchon felderi,1
ces 500,amphimoea walkeri,1
ces 500,desmotrichia ursula,1
ces 500,eois sp,1
ces 500,megalopyge albicollis,1
ces 500,olceclostera sp,1
ces 500,quadrus cerialis,2
ces 51,gamelia septentrionalis,1
ces 52,gamelia septentrionalis,1
ces 53,gamelia septentrionalis,1
ces 54,gamelia septentrionalis,1
ces 55,gamelia septentrionalis,1
ces 550,anomis nr patagiata,2
ces 550,astraptes fulgerator azul,1
ces 550,cyclophora sp 2,1
ces 550,dubiella fiscella belpa,2
ces 550,ischnopteris bryifera commixta,1
ces 550,oenoptila separata,1
ces 550,zaretis itys,2
ces 56,gamelia septentrionalis,1
ces 600,eois nympha,1
ces 650,adhemarius sp,1
ces 650,automeris sp,1
ces 650,eois apyraria,6
ces 650,eois nr citriaria,1
ces 650,eois nympha,1
ces 650,eois sp,3
ces 650,oxytenis beprea,2
ces 650,pitane fervens,5
ces 650,zunacetha sp 2,1
ces 650 y loc 500,eois apyraria,7
ces 650 y loc 500,eois nympha,19
ces 700,eois nympha,5
ces 700,eois sp,3
ces 700,parides sp,1
ces 700,quadrus cerialis,1
ces 700,scotura leucophleps,10
ces 750,archaeprepona demophon gulina,1
ces 750,emesis lucinda,6
ces 750,euptychia jesia,1
ces 750,quadrus cerialis,3
ces 800,dioptis longipennis,1
ces 800,elbella sp,1
ces 800,eois apyraria,9
ces 800,eois nympha,19
ces 800,eois sp,1
ces 800,heliconius cydno galanthus,2
ces 800,quadrus cerialis,1
ces 840,omiodes sp,57
ces 850,dioptis longipennis,1
ces 850,dioptis sp,1
ces 850,dyscophellus phraxanor,2
ces 850,eois apyraria,3
ces 850,eois nympha,1
ces 850,eois sp,1
ces 850,vinius phellus,1
ces suampo,dioptis longipennis,1
ces suampo,eois apyraria,16
ces suampo,eois mexicaria,1
ces suampo,eois nympha,2
claro lab,achlyodes bursirus heros,1
claro lab,dubiella fiscella belpa,1
claro lab,euclea plugma,1
claro lab,quadrus cerialis,1
claro lab,xilophanes porcus,1
claro lab,xylophanes chiron,2
cluno lab,marpesia merops,1
comedor,antirrhea sp,1
comedor,lycorea cleobaea atergatis,1
comedor,papilio sp,1
comedor clearing,anacrusis auleodes,1
comedor clearing,caligo eurylochus solanus,1
comedor clearing,colobura dirce,47
comedor clearing,pachylia syces,1
comedor clearing,phoebis sennae,1
comedor clearing,zaretis itys,1
comedor pric,pachylia syces,1
contiguo a parcela 12,eois apyraria,3
cristo rey,eacles sp,1
csh 250,telemiades nr antiope,1
daysi garden,spodoptera sp,1
donated,achlyodes thraso,1
donated,automeris postalbida,3
donated,battus nr belus varus,1
donated,caligo sp,1
donated,dioptis longipennis,1
donated,eacles sp,1
donated,eumaeus godartii,10
donated,eumorpha sp,1
donated,eutolype sp,21
donated,eutolype sp 2,1
donated,gonodonta sp,1
donated,hypercompe leata,1
donated,olceclostera nr bifenestrada,1
donated,oryba kadeni,2
donated,pachylia ficus,1
donated,pachyliodes resumens,1
donated,periphoba arcaei,4
donated,philaethria dido,1
donated,tarchon felderi,2
donated por jathniel,acharia sarans,1
entrada principal,chlosyne janais,35
esperanza,eois sp,5
est biol las cruces,eois sp,9
est del rio,gonodonta sp,1
gla 2,apomopteryx pterophoralis,3
glacha,acharia nesea,1
glacha,achlyodes bursirus heros,16
glacha,achlyodes thraso,1
glacha,aclytia albistriga,3
glacha,acrotomia trilva,36
glacha,adelpha celerio,1
glacha,adelpha cytherea marcia,33
glacha,adelpha ixia leucas,1
glacha,adelpha sp,4
glacha,aellops ceculus,3
glacha,agaraea sp,78
glacha,amorbia depicta,1
glacha,amorbia sp,6
glacha,anacrusis sp,6
glacha,ancyluris jurgensenii,1
glacha,anomis nr patagiata,7
glacha,antichloris viridis,2
glacha,apatelodes erotina,25
glacha,arawacus nr lincoides,1
glacha,archaeoprepona sp,2
glacha,astraptes alardus,29
glacha,astraptes fulgerator azul,5
glacha,astraptes sp,2
glacha,asturodes fimbriauralis,2
glacha,ategumia sp,1
glacha,automeris exigua,6
glacha,automeris postalbida,3
glacha,automeris sp,6
glacha,automeris tridens,1
glacha,battus belus varus,1
glacha,battus polydamas polydamas,1
glacha,battus sp,34
glacha,caligo eurylochus solanus,1
glacha,caligo illioneus oberon,5
glacha,calpodes ethlius,1
glacha,carrhenes canescens canescens,1
glacha,castilia ofella,11
glacha,charis iris,1
glacha,chlosyne gaudealis,4
glacha,chlosyne janais,2
glacha,colobura dirce,8
glacha,consul fabius cecrops,1
glacha,cosmosoma sp,8
glacha,crinodes besckei,1
glacha,crinodes sp,4
glacha,cropia nr cedice,4
glacha,cyclomia nr disparilis,7
glacha,cyclophora sp 2,1
glacha,desmia sp 2,2
glacha,desmia sp 3,1
glacha,dinia aeagrus,1
glacha,dioptis longipennis,1
glacha,dioptis sp,24
glacha,dircenna dero euchytma,4
glacha,dismorphia amphiona praxinoe,6
glacha,dryas julia,3
glacha,dubiella fiscella belpa,1
glacha,dyops nr chromatophila,8
glacha,dysodia sp,34
glacha,dysschema jansonis,1
glacha,dysschema leucophaea,84
glacha,dysschema sp,6
glacha,elysius discoplaga,1
glacha,emesis lucinda,20
glacha,emesis mandana,1
glacha,eois cassandra,2
glacha,eois guapa,1
glacha,eois nr citriaria,7
glacha,eois nr thetisaria,1
glacha,eois numida,4
glacha,eois obada,5
glacha,eois russearia,22
glacha,eois sp,1
glacha,eois sp 3,2
glacha,epimecis patronaria,8
glacha,epimecis sp,2
glacha,erinnyis sp,1
glacha,eucereon aeolum,28
glacha,euclea sp,1
glacha,eueides aliphera,8
glacha,eueides lybia olympia,1
glacha,euptychia jesia,4
glacha,eurema albula,4
glacha,gonodonta latimacula,2
glacha,gonodonta nr sinaldus,1
glacha,gonodonta sicheas,3
glacha,gonodonta sp,19
glacha,gonodonta sp 2,1
glacha,gonodonta uxoria,5
glacha,halysidota cyclozonata,1
glacha,heliconius erato petiverania,1
glacha,heliconius hecale zuleika,3
glacha,heliconius sara fulgidus,16
glacha,heliconius sp,3
glacha,hemeroplanes ornatus,1
glacha,hemiceras sp,1
glacha,herpetogramma sp,1
glacha,herpetogramma sp1,3
glacha,hyalurga sora,1
glacha,hygrochroma sp,3
glacha,hypothyris euclea valora,116
glacha,ialdus criuris,1
glacha,idaea sp,9
glacha,isanthrene championi,3
glacha,isophrictus sp,1
glacha,ithomia diasa hippocrenis,37
glacha,leucochimona lepida,1
glacha,lirimiris meridionalis,1
glacha,lirimiris nr guatemalensis,1
glacha,lirimiris nr truncata,6
glacha,macroneme iole,5
glacha,macroneme nr caerulescens,13
glacha,macroneme semiviridis,1
glacha,macroneme sp,6
glacha,manduca corralina,1
glacha,manduca occulta,2
glacha,mechanitis polymnia isthmia,32
glacha,megalopyge albicollis,1
glacha,megeuptychia antonoe,5
glacha,memphis cleomestra,5
glacha,memphis sp,1
glacha,merotoma sp,4
glacha,mesosemia carissima,1
glacha,milanion sp,12
glacha,nisoniades godma,1
glacha,olceclostera nr bifenestrada,1
glacha,opsiphanes tamarindi,1
glacha,oxydia apidania,1
glacha,pachylia syces,1
glacha,palpita sp,1
glacha,pantographa expansalis,1
glacha,pantographa suffusalis,7
glacha,papilio cresphontes,5
glacha,papilio sp,1
glacha,papilio thoas neacles,16
glacha,paragonia procidaria,1
glacha,parides arcas mylotes,4
glacha,parides erithalion sadyattes,1
glacha,parides iphidamas iphidamas,1
glacha,phaeoblemma dares,11
glacha,phobetron hipparchia,1
glacha,phoebis argante,11
glacha,phoebis sennae,1
glacha,pleuroptya silicalis,3
glacha,pseudasellodes fenestraria,1
glacha,pyrrhogyra otolais otolais,17
glacha,quadrus cerialis,36
glacha,quadrus sp,3
glacha,quentalia sp 2,1
glacha,saliana sp,1
glacha,saliana sp 1,2
glacha,saliana sp 2,1
glacha,sphacelodes nr quadrilineata,15
glacha,spodoptera dolichos,2
glacha,spodoptera sp,4
glacha,stauropides sp,1
glacha,talides nr alternata,1
glacha,talides sp complex,1
glacha,tarchon felderi,15
glacha,telemiades nr antiope,1
glacha,thysanopyga carfinia,1
glacha,thysanopyga nicetaria,1
glacha,tigridia acesta,4
glacha,turesis complanula,5
glacha,turesis sp,1
glacha,urbanus nr pronus,2
glacha,urbanus sp,1
glacha,xylophanes chiron,6
glacha,xylophanes pluto,1
glacha,zanola verago,1
glacha,zaretis itys,27
glasnost 1,lirimiris nr truncata,1
glasnost 1,papilio thoas neacles,1
glasnost 1,xylophanes pluto,1
glasnost 1,xylophanes porcus,3
glasnost 2,adelpha celerio,1
glasnost 2,apomopteryx pterophoralis,3
glasnost 2,dysodia sp,1
glasnost 2,emesis lucinda,9
glasnost 2,eois apyraria,1
glasnost 2,hylesia sp,1
glasnost 2,lirimiris nr truncata,3
glasnost 2,mechanitis polymnia isthmia,1
glasnost 2,papilio cresphontes,1
glasnost 2,papilio thoas neacles,1
glasnost 2,pleuroptya silicalis,1
glasnost 2,protepicorsia sp,2
glasnost 2,quadrus cerialis,4
glasnost 2,sychesia dryas,1
glasnost 2,tigridia acesta,1
glasnost 2,zaretis itys,1
glasnost 3,adelpha cytherea marcia,8
glasnost 3,apatelodes erotina,17
glasnost 3,astraptes sp,2
glasnost 3,consul sp,1
glasnost 3,crinodes sp,1
glasnost 3,cyclomia nr disparilis,2
glasnost 3,dircenna dero euchytma,3
glasnost 3,drugera morona,1
glasnost 3,dryas julia,1
glasnost 3,dysodia sp,8
glasnost 3,episcepis inornata,2
glasnost 3,hyalurga sora,8
glasnost 3,hylesia sp,1
glasnost 3,ithomia diasa hippocrenis,1
glasnost 3,macroneme nr caerulescens,1
glasnost 3,mechanitis polymnia isthmia,17
glasnost 3,molo mango,1
glasnost 3,nessaea aglaura aglaura,1
glasnost 3,nisoniades godma,3
glasnost 3,opsiphanes tamarindi,1
glasnost 3,papilio thoas neacles,1
glasnost 3,periphoba arcaei,2
glasnost 3,pleuroptya silicalis,3
glasnost 3,tarchon felderi,1
glasnost 3,turesis sp,1
gua 1,memphis cleomestra,1
harold,achlyodes bursirus heros,1
harold,dubiella fiscella belpa,1
harold,saliana sp 1,1
harold,staphylus sp 1,1
harold,tromba xanthura,1
huertos,acharia hyperoche,26
huertos,acharia nesea,14
huertos,acharia sarans,5
huertos,achlyodes bursirus heros,27
huertos,achlyodes thraso,7
huertos,aclytia albistriga,7
huertos,aclytia haber,1
huertos,acrotomia trilva,3
huertos,adelpha cocala lorzae,1
huertos,adelpha cytherea marcia,19
huertos,adelpha erotia,2
huertos,adelpha sp,2
huertos,aellops ceculus,2
huertos,aesiocopa necrofolia,1
huertos,agaraea sp,219
huertos,amorbia depicta,2
huertos,anacrusis auleodes,3
huertos,anacrusis sp,2
huertos,ancyluris jurgensenii,1
huertos,anomis nr patagiata,13
huertos,anomis sp,6
huertos,anthoptus epictetus,1
huertos,antichloris viridis,16
huertos,apatelodes erotina,105
huertos,apatelodes sp,3
huertos,arawacus nr lincoides,3
huertos,archaeoprepona sp,2
huertos,archaeprepona demophon,1
huertos,archaeprepona demophon gulina,8
huertos,astraptes alardus,25
huertos,astraptes fulgerator azul,17
huertos,astraptes sp,1
huertos,asturodes fimbriauralis,4
huertos,automeris celata,9
huertos,automeris exigua,24
huertos,automeris postalbida,3
huertos,automeris sp,459
huertos,automeris tridens,25
huertos,battus sp,5
huertos,betulodes sp,1
huertos,caerois gerdrudtus,2
huertos,calephelis sp,1
huertos,caligo eurylochus solanus,5
huertos,caligo illioneus oberon,5
huertos,caligo memnon,305
huertos,caligo sp,21
huertos,callicore peralta,1
huertos,callopistria floridensis,2
huertos,callopistria jamaicensis,1
huertos,calospila cilissa,1
huertos,calpodes sp,1
huertos,catonephele numilia esite,1
huertos,catonephele orites,6
huertos,catonephele sp,5
huertos,chlosyne gaudealis,42
huertos,chlosyne janais,149
huertos,chlosyne lacinia,2
huertos,chlosyne sp,18
huertos,cocytius duponchel,3
huertos,cocytius sp,1
huertos,colobura dirce,9
huertos,consul fabius cecrops,39
huertos,consul panariste jansoni,2
huertos,copaxa curvilinear,1
huertos,copaxa sp,2
huertos,cosmosoma festivum,1
huertos,cosmosoma sp,5
huertos,cosmosoma zucheri,1
huertos,crinodes sp,3
huertos,cropia nr cedice,11
huertos,cyclomia nr disparilis,4
huertos,dasylophia sp,1
huertos,desmia sp,1
huertos,desmia sp 1,1
huertos,desmia sp 2,3
huertos,desmia sp 3,9
huertos,dinia aeagrus,1
huertos,dioptis longipennis,1
huertos,diospage corilla,1
huertos,dircenna dero euchytma,26
huertos,dismorphia amphiona praxinoe,10
huertos,disodia sp,1
huertos,disphragis albolineata,2
huertos,disphragis lama,1
huertos,disphragis ligneata,1
huertos,disphragis nr albolineata,1
huertos,dryas julia,3
huertos,dubiella fiscella belpa,10
huertos,dunama agulinea,5
huertos,dunama sp,1
huertos,dyops nr chromatophila,55
huertos,dyscophellus phraxanor,1
huertos,dysodia sp,60
huertos,dysschema jansonis,1
huertos,dysschema leucophaea,209
huertos,dysschema magdala,2
huertos,dysschema sp,26
huertos,ebrietas evanidus,47
huertos,elymiotis attenuata,1
huertos,elysius discoplaga,23
huertos,entheus sp 1,1
huertos,enyo cavifer,3
huertos,enyo ocypete,3
huertos,eois apyraria,23
huertos,eois cassandra,22
huertos,eois dibapha,1
huertos,eois dorisaria druce,2
huertos,eois dryantis numida,2
huertos,eois dryope,16
huertos,eois guapa,6
huertos,eois mexicaria,47
huertos,eois nr citriaria,1
huertos,eois nr nigrosticta,1
huertos,eois nr numida,1
huertos,eois nr thetisaria,7
huertos,eois numida,10
huertos,eois nympha,6
huertos,eois obada,1
huertos,eois occia,9
huertos,eois russearia,281
huertos,eois sp,103
huertos,eois sp 13,1
huertos,eois sp 2,3
