 INDIV ,species,Locality,WT,SVL,TL,Trial1,Trial2,BASE,INJ #,TTX DOSE,POST TIME,POST/BASE,ml of Dilution,dilution,,50% MAMU,,
  3.36 ,T.c.,Indian Cr.,137.5,643,814,0.616,0.65,0.633 ,0.5MU,0.00098 ,0.813,77.86%,0.098,.01mg/ml,,1.32,,
  3.36 ,T.c.,Indian Cr.,137.5,643,814,0.616,0.65,0.633 ,1MU,0.00196 ,0.975,64.92%,0.196,.01mg/ml,,,,
  3.36 ,T.c.,Indian Cr.,137.5,643,814,0.616,0.65,0.633 ,2MU,0.00393 ,3.56,17.78%,0.079,.05mg/ml,,,,
  3.36 ,T.c.,Indian Cr.,137.5,643,814,0.616,0.65,0.633 ,3MU,0.00589 ,2.914,21.72%,0.118,.05mg/ml,,,,
  3.36 ,T.c.,Indian Cr.,137.5,643,814,0.616,0.65,0.633 ,6MU,0.01179 ,6.961,9.09%,0.118,.1mg/ml,,,,
  3.37 ,T.c.,Antelope Cr.,115.7,655,827,0.646,0.635,0.641 ,0.5MU,0.00083 ,0.608,105.35%,0.083,.01mg/ml,,1.28,,
  3.37 ,T.c.,Antelope Cr.,115.7,655,827,0.646,0.635,0.641 ,15MU,0.02480 ,5.639,11.36%,0.124,.2mg/ml,,,,
  3.37 ,T.c.,Antelope Cr.,115.7,655,827,0.646,0.635,0.641 ,1MU,0.00165 ,1.023,62.61%,0.165,.01mg/ml,,,,
  3.37 ,T.c.,Antelope Cr.,115.7,655,827,0.646,0.635,0.641 ,2MU,0.00331 ,3.722,17.21%,0.066,.05mg/ml,,,,
  3.37 ,T.c.,Antelope Cr.,115.7,655,827,0.646,0.635,0.641 ,3MU,0.00496 ,1.266,50.59%,0.099,.05mg/ml,,,,
  3.37 ,T.c.,Antelope Cr.,115.7,655,827,0.646,0.635,0.641 ,6MU,0.00992 ,6.97,9.19%,0.099,.1mg/ml,,,,
  3.38 ,T.c.,Antelope Cr.,156.8,674,866,0.722,0.814,0.768 ,0.5MU,0.00112 ,0.737,104.21%,0.112,.01mg/ml,,2.24,,
  3.38 ,T.c.,Antelope Cr.,156.8,674,866,0.722,0.814,0.768 ,15MU,0.03361 ,3.711,20.70%,0.168,.2mg/ml,,,,
  3.38 ,T.c.,Antelope Cr.,156.8,674,866,0.722,0.814,0.768 ,1MU,0.00224 ,1.296,59.26%,0.224,.01mg/ml,,,,
  3.38 ,T.c.,Antelope Cr.,156.8,674,866,0.722,0.814,0.768 ,2MU,0.00448 ,1.431,53.67%,0.090,.05mg/ml,,,,
  3.38 ,T.c.,Antelope Cr.,156.8,674,866,0.722,0.814,0.768 ,3MU,0.00672 ,1.974,38.91%,0.134,.05mg/ml,,,,
  3.38 ,T.c.,Antelope Cr.,156.8,674,866,0.722,0.814,0.768 ,6MU,0.01344 ,1.486,51.68%,0.134,.1mg/ml,,,,
  3.39 ,T.c.,Antelope Cr.,147.6,672,850,0.74,0.663,0.702 ,0.5MU,0.00105 ,0.913,76.83%,0.105,.01mg/ml,,1.97,,
  3.39 ,T.c.,Antelope Cr.,147.6,672,850,0.74,0.663,0.702 ,1MU,0.00211 ,0.931,75.35%,0.211,.01mg/ml,,,,
  3.39 ,T.c.,Antelope Cr.,147.6,672,850,0.74,0.663,0.702 ,2MU,0.00422 ,1.421,49.37%,0.084,.05mg/ml,,,,
  3.39 ,T.c.,Antelope Cr.,147.6,672,850,0.74,0.663,0.702 ,3MU,0.00633 ,1.421,49.37%,0.127,.05mg/ml,,,,
  3.39 ,T.c.,Antelope Cr.,147.6,672,850,0.74,0.663,0.702 ,6MU,0.01266 ,1.266,55.41%,0.127,.1mg/ml,,,,
  3.40 ,T.c.,Antelope Cr.,137.2,687,852,0.744,0.894,0.819 ,0.5MU,0.00098 ,0.792,103.41%,0.098,.01mg/ml,,not reliable,,
  3.40 ,T.c.,Antelope Cr.,137.2,687,852,0.744,0.894,0.819 ,15MU,0.02941 ,4.467,18.33%,0.147,.2mg/ml,,,,
  3.40 ,T.c.,Antelope Cr.,137.2,687,852,0.744,0.894,0.819 ,1MU,0.00196 ,1.055,77.63%,0.196,.01mg/ml,,,,
  3.40 ,T.c.,Antelope Cr.,137.2,687,852,0.744,0.894,0.819 ,2MU,0.00392 ,0.856,95.68%,0.078,.05mg/ml,,,,
  3.40 ,T.c.,Antelope Cr.,137.2,687,852,0.744,0.894,0.819 ,3MU,0.00588 ,1.246,65.73%,0.118,.05mg/ml,,,,
,,,,,,,,,,,,,,,,,,
4.14,T.c.,Keleher,103.8,642,,  0.714 ,  0.730 ,0.722 ,1MU,0.001483302,0.923,78.22%,,0.148,,6,,
4.14,T.c.,Keleher,103.8,642,,  0.714 ,  0.730 ,0.722 ,3MU,0.004449906,0.935,77.22%,,0.089,0.05,,,
4.14,T.c.,Keleher,103.8,642,,  0.714 ,  0.730 ,0.722 ,6MU,0.008899812,1.447,49.90%,,0.178,,,,
4.14,T.c.,Keleher,103.8,642,,  0.714 ,  0.730 ,0.722 ,5MU,0.00741651,1.651,43.73%,,0.148,,,,
4.14,T.c.,Keleher,103.8,642,,  0.714 ,  0.730 ,0.722 ,10MU,0.01483302,1.562,46.22%,,0.074,0.2,,,
4.14,T.c.,Keleher,103.8,642,,  0.714 ,  0.730 ,0.722 ,25MU,0.03708255,3.096,23.32%,,0.185,,,,
4.15,T.c.,Keleher,202.5,744,,  0.677 ,  0.652 ,0.665 ,1MU,0.002893725,0.814,81.63%,,0.289,,9.45,,
4.15,T.c.,Keleher,202.5,744,,  0.677 ,  0.652 ,0.665 ,3MU,0.008681175,0.888,74.83%,,0.174,0.05,,,
4.15,T.c.,Keleher,202.5,744,,  0.677 ,  0.652 ,0.665 ,6MU,0.01736235,0.755,88.01%,,0.347,,,,
4.15,T.c.,Keleher,202.5,744,,  0.677 ,  0.652 ,0.665 ,5MU,0.014468625,1.743,38.12%,,0.289,,,,
4.15,T.c.,Keleher,202.5,744,,  0.677 ,  0.652 ,0.665 ,10MU,0.02893725,1.51,44.01%,,0.145,0.2,,,
4.15,T.c.,Keleher,202.5,744,,  0.677 ,  0.652 ,0.665 ,25MU,0.072343125,2.547,26.09%,,0.362,,,,
4.16,T.c.,Keleher,67.6,577,,  0.590 ,  0.668 ,0.629 ,1MU,0.000966004,0.817,76.99%,,0.097,,4.5,,
4.16,T.c.,Keleher,67.6,577,,  0.590 ,  0.668 ,0.629 ,3MU,0.002898012,0.685,91.82%,,0.058,0.05,,,
4.16,T.c.,Keleher,67.6,577,,  0.590 ,  0.668 ,0.629 ,6MU,0.005796024,1.99,31.61%,,0.116,,,,
4.16,T.c.,Keleher,67.6,577,,  0.590 ,  0.668 ,0.629 ,5MU,0.00483002,1.733,36.30%,,0.097,,,,
4.16,T.c.,Keleher,67.6,577,,  0.590 ,  0.668 ,0.629 ,10MU,0.00966004,2.026,31.05%,,0.048,0.2,,,
4.16,T.c.,Keleher,67.6,577,,  0.590 ,  0.668 ,0.629 ,25MU,0.0241501,3.705,16.98%,,0.121,,,,
4.17,T.c.,Keleher,147.9,710,,  0.751 ,  0.677 ,0.714 ,1MU,0.002113491,0.846,84.40%,,0.211,,5.65,,
4.17,T.c.,Keleher,147.9,710,,  0.751 ,  0.677 ,0.714 ,3MU,0.006340473,0.686,104.08%,,0.127,0.05,,,
4.17,T.c.,Keleher,147.9,710,,  0.751 ,  0.677 ,0.714 ,6MU,0.012680946,1.73,41.27%,,0.254,,,,
4.17,T.c.,Keleher,147.9,710,,  0.751 ,  0.677 ,0.714 ,5MU,0.010567455,1.077,66.30%,,0.211,,,,
4.17,T.c.,Keleher,147.9,710,,  0.751 ,  0.677 ,0.714 ,10MU,0.02113491,2.562,27.87%,,0.106,0.2,,,
4.17,T.c.,Keleher,147.9,710,,  0.751 ,  0.677 ,0.714 ,25MU,0.052837275,4.119,17.33%,,0.264,,,,
4.18,T.c.,Keleher,16.5,337,,  0.763 ,  1.217 ,0.990 ,1MU,0.000235785,1.151,86.01%,,0.024,,4.84,,
4.18,T.c.,Keleher,16.5,337,,  0.763 ,  1.217 ,0.990 ,3MU,0.000707355,1.148,86.24%,,0.071,,,,
4.18,T.c.,Keleher,16.5,337,,  0.763 ,  1.217 ,0.990 ,6MU,0.00141471,2.075,47.71%,,0.028,,,,
4.18,T.c.,Keleher,16.5,337,,  0.763 ,  1.217 ,0.990 ,5MU,0.001178925,2.116,46.79%,,0.024,,,,
4.18,T.c.,Keleher,16.5,337,,  0.763 ,  1.217 ,0.990 ,10MU,0.00235785,2.446,40.47%,,0.047,,,,
4.18,T.c.,Keleher,16.5,337,,  0.763 ,  1.217 ,0.990 ,25MU,0.005894625,4.378,22.61%,,0.029,,,,
4.19,T.c.,Keleher,18.5,380,,  0.830 ,  0.735 ,0.783 ,1MU,0.000264365,0.822,95.19%,,0.026,,5.35,,
4.19,T.c.,Keleher,18.5,380,,  0.830 ,  0.735 ,0.783 ,3MU,0.000793095,1.005,77.86%,,0.079,,,,
4.19,T.c.,Keleher,18.5,380,,  0.830 ,  0.735 ,0.783 ,6MU,0.00158619,3.004,26.05%,,0.032,,,,
4.19,T.c.,Keleher,18.5,380,,  0.830 ,  0.735 ,0.783 ,5MU,0.001321825,1.245,62.85%,,0.026,,,,
4.19,T.c.,Keleher,18.5,380,,  0.830 ,  0.735 ,0.783 ,10MU,0.00264365,2.048,38.21%,,0.053,,,,
4.19,T.c.,Keleher,18.5,380,,  0.830 ,  0.735 ,0.783 ,25MU,0.006609125,4.937,15.85%,,0.033,,,,
4.20,T.c.,Keleher,8.3,261,,  1.006 ,  1.031 ,1.019 ,1MU,0.000118607,1.167,87.28%,,0.012,,4.54,,
4.20,T.c.,Keleher,8.3,261,,  1.006 ,  1.031 ,1.019 ,3MU,0.000355821,0.941,108.24%,,0.036,,,,
4.20,T.c.,Keleher,8.3,261,,  1.006 ,  1.031 ,1.019 ,6MU,0.000711642,3.409,29.88%,,0.071,0.01,,,
4.20,T.c.,Keleher,8.3,261,,  1.006 ,  1.031 ,1.019 ,5MU,0.000593035,2.936,34.69%,,0.059,0.01,,,
4.20,T.c.,Keleher,8.3,261,,  1.006 ,  1.031 ,1.019 ,10MU,0.00118607,3.81,26.73%,,0.024,,,,
4.20,T.c.,Keleher,8.3,261,,  1.006 ,  1.031 ,1.019 ,25MU,0.002965175,16.462,6.19%,,0.015,,,,
4.21,T.c.,Keleher,6,253,,  1.011 ,  1.256 ,1.134 ,1MU,0.00008574,0.966,117.34%,,0.086,0.001,5.2,,
4.21,T.c.,Keleher,6,253,,  1.011 ,  1.256 ,1.134 ,3MU,0.00025722,1.303,86.99%,,0.026,,,,
4.21,T.c.,Keleher,6,253,,  1.011 ,  1.256 ,1.134 ,6MU,0.00051444,,,,0.051,0.01,,,
4.21,T.c.,Keleher,6,253,,  1.011 ,  1.256 ,1.134 ,5MU,0.0004287,2.184,51.90%,,0.043,0.01,,,
4.21,T.c.,Keleher,6,253,,  1.011 ,  1.256 ,1.134 ,10MU,0.0008574,13.616,8.32%,,0.017,,,,
4.21,T.c.,Keleher,6,253,,  1.011 ,  1.256 ,1.134 ,25MU,0.0021435,,,,0.011,,,,
4.22,T.c.,Keleher,5.4,261,,  1.006 ,  1.151 ,1.079 ,1MU,0.000077166,1.152,93.62%,,0.077,0.001,4.42,,
4.22,T.c.,Keleher,5.4,261,,  1.006 ,  1.151 ,1.079 ,3MU,0.000231498,1.583,68.13%,,0.023,,,,
4.22,T.c.,Keleher,5.4,261,,  1.006 ,  1.151 ,1.079 ,6MU,0.000462996,2.214,48.71%,,0.046,0.01,,,
4.22,T.c.,Keleher,5.4,261,,  1.006 ,  1.151 ,1.079 ,5MU,0.00038583,2.525,42.71%,,0.039,0.01,,,
4.22,T.c.,Keleher,5.4,261,,  1.006 ,  1.151 ,1.079 ,10MU,0.00077166,1.664,64.81%,,0.015,,,,
4.22,T.c.,Keleher,5.4,261,,  1.006 ,  1.151 ,1.079 ,25MU,0.00192915,8.059,13.38%,,0.010,,,,
4.23,T.c.,Keleher,6.5,248,,  0.847 ,  0.892 ,0.870 ,1MU,0.000092885,1.016,85.58%,,0.093,0.001,2.88,,
4.23,T.c.,Keleher,6.5,248,,  0.847 ,  0.892 ,0.870 ,3MU,0.000278655,1.825,47.64%,,0.028,,,,
4.23,T.c.,Keleher,6.5,248,,  0.847 ,  0.892 ,0.870 ,6MU,0.00055731,6.705,12.97%,,0.056,0.01,,,
4.23,T.c.,Keleher,6.5,248,,  0.847 ,  0.892 ,0.870 ,5MU,0.000464425,3.685,23.60%,,0.046,0.01,,,
4.23,T.c.,Keleher,6.5,248,,  0.847 ,  0.892 ,0.870 ,10MU,0.00092885,7.655,11.36%,,0.019,,,,
4.23,T.c.,Keleher,6.5,248,,  0.847 ,  0.892 ,0.870 ,25MU,0.002322125,15.086,5.76%,,0.012,,,,
4.37,T.c.,N. Battle Cr.,23.5,388,,  0.881 ,  1.006 ,0.944 ,1MU,0.000335815,1.186,79.55%,,0.034,,3.24,,
4.37,T.c.,N. Battle Cr.,23.5,388,,  0.881 ,  1.006 ,0.944 ,3MU,0.001007445,1.778,53.07%,,0.101,,,,
4.37,T.c.,N. Battle Cr.,23.5,388,,  0.881 ,  1.006 ,0.944 ,2MU,0.00067163,2.065,45.69%,,0.067,0.01,,,
4.37,T.c.,N. Battle Cr.,23.5,388,,  0.881 ,  1.006 ,0.944 ,5MU,0.001679075,3.291,28.67%,,0.034,,,,
4.37,T.c.,N. Battle Cr.,23.5,388,,  0.881 ,  1.006 ,0.944 ,10MU,0.00335815,2.479,38.06%,,0.067,,,,
4.38,T.c.,N. Battle Cr.,117.9,650,,  0.679 ,  0.674 ,0.677 ,1MU,0.001684791,1.026,65.94%,,0.168,,2.52,,
4.38,T.c.,N. Battle Cr.,117.9,650,,  0.679 ,  0.674 ,0.677 ,3MU,0.005054373,2.1,32.21%,,0.101,0.05,,,
4.38,T.c.,N. Battle Cr.,117.9,650,,  0.679 ,  0.674 ,0.677 ,2MU,0.003369582,0.979,69.10%,,0.067,,,,
4.38,T.c.,N. Battle Cr.,117.9,650,,  0.679 ,  0.674 ,0.677 ,5MU,0.008423955,4.755,14.23%,,0.168,,,,
4.38,T.c.,N. Battle Cr.,117.9,650,,  0.679 ,  0.674 ,0.677 ,10MU,0.01684791,5.939,11.39%,,0.084,0.2,,,
4.39,T.c.,N. Battle Cr.,5.3,226,,,  1.031 ,1.031 ,10MU,0.00075737,10.704,9.63%,,0.076,,3.2,,
4.39,T.c.,N. Battle Cr.,5.3,226,,,  1.031 ,1.031 ,1MU,0.000075737,1.308,78.82%,,0.076,0.001,,,
4.39,T.c.,N. Battle Cr.,5.3,226,,,  1.031 ,1.031 ,2MU,0.000151474,1.806,57.09%,,0.015,0.01,,,
4.39,T.c.,N. Battle Cr.,5.3,226,,,  1.031 ,1.031 ,5MU,0.000378685,,,,0.038,0.01,,,
4.40,T.c.,N. Battle Cr.,62.2,559,,  0.933 ,  1.044 ,0.989 ,1MU,0.000888838,1.256,78.70%,,0.089,,2.64,,
4.40,T.c.,N. Battle Cr.,62.2,559,,  0.933 ,  1.044 ,0.989 ,3MU,0.002666514,2.408,41.05%,,0.053,0.05,,,
4.40,T.c.,N. Battle Cr.,62.2,559,,  0.933 ,  1.044 ,0.989 ,2MU,0.001777676,1.498,65.99%,,0.178,0.01,,,
4.40,T.c.,N. Battle Cr.,62.2,559,,  0.933 ,  1.044 ,0.989 ,5MU,0.00444419,1.701,58.11%,,0.089,,,,
4.40,T.c.,N. Battle Cr.,62.2,559,,  0.933 ,  1.044 ,0.989 ,10MU,0.00888838,4.282,23.09%,,0.044,0.2,,,
4.41,T.c.,N. Battle Cr.,43.8,481,,  0.725 ,  0.828 ,0.777 ,1MU,0.000625902,1.225,63.39%,,0.063,,3.81,,
4.41,T.c.,N. Battle Cr.,43.8,481,,  0.725 ,  0.828 ,0.777 ,3MU,0.001877706,1.129,68.78%,,0.188,,,,
4.41,T.c.,N. Battle Cr.,43.8,481,,  0.725 ,  0.828 ,0.777 ,2MU,0.001251804,1.529,50.78%,,0.125,0.01,,,
4.41,T.c.,N. Battle Cr.,43.8,481,,  0.725 ,  0.828 ,0.777 ,5MU,0.00312951,3.347,23.20%,,0.063,,,,
4.41,T.c.,N. Battle Cr.,43.8,481,,  0.725 ,  0.828 ,0.777 ,10MU,0.00625902,7.782,9.98%,,0.125,,,,
4.42,T.c.,N. Battle Cr.,42.5,473,,  0.851 ,  0.914 ,0.883 ,1MU,0.000607325,1.043,84.61%,,0.061,,2.95,,
4.42,T.c.,N. Battle Cr.,42.5,473,,  0.851 ,  0.914 ,0.883 ,3MU,0.001821975,1.84,47.96%,,0.182,,,,
4.42,T.c.,N. Battle Cr.,42.5,473,,  0.851 ,  0.914 ,0.883 ,2MU,0.00121465,0.987,89.41%,,0.121,0.01,,,
4.42,T.c.,N. Battle Cr.,42.5,473,,  0.851 ,  0.914 ,0.883 ,5MU,0.003036625,2.129,41.45%,,0.061,,,,
4.42,T.c.,N. Battle Cr.,42.5,473,,  0.851 ,  0.914 ,0.883 ,10MU,0.00607325,3.679,23.99%,,0.121,,,,
4.44,T.c.,Rock Cr.,44.5,490,,  0.674 ,  0.837 ,0.756 ,1MU,0.000635905,0.988,76.47%,,0.064,,3.1,,
4.44,T.c.,Rock Cr.,44.5,490,,  0.674 ,  0.837 ,0.756 ,3MU,0.001907715,1.497,50.47%,,0.191,,,,
4.44,T.c.,Rock Cr.,44.5,490,,  0.674 ,  0.837 ,0.756 ,2MU,0.00127181,0.884,85.46%,,0.127,0.01,,,
4.44,T.c.,Rock Cr.,44.5,490,,  0.674 ,  0.837 ,0.756 ,5MU,0.003179525,3.961,19.07%,,0.064,,,,
4.45,T.c.,"""hybrid"" local",58,529,,  0.799 ,  0.933 ,0.866 ,1MU,0.00082882,0.931,93.02%,,0.083,,2.65,,
4.45,T.c.,"""hybrid"" local",58,529,,  0.799 ,  0.933 ,0.866 ,3MU,0.00248646,3.667,23.62%,,0.050,0.05,,,
4.45,T.c.,"""hybrid"" local",58,529,,  0.799 ,  0.933 ,0.866 ,2MU,0.00165764,0.745,116.24%,,0.166,0.01,,,
4.45,T.c.,"""hybrid"" local",58,529,,  0.799 ,  0.933 ,0.866 ,5MU,0.0041441,6.664,13.00%,,0.083,,,,
4.49,T.c.,Wishon,58.6,591,,  0.929 ,  0.879 ,0.904 ,1MU,0.000837394,1.011,89.42%,,0.084,,74.5,,
4.49,T.c.,Wishon,58.6,591,,  0.929 ,  0.879 ,0.904 ,3MU,0.002512182,0.69,131.01%,,0.050,0.05,,,
4.49,T.c.,Wishon,58.6,591,,  0.929 ,  0.879 ,0.904 ,6MU,0.005024364,0.849,106.48%,,0.100,,,,
4.49,T.c.,Wishon,58.6,591,,  0.929 ,  0.879 ,0.904 ,10MU,0.00837394,1.115,81.08%,,0.167,,,,
4.49,T.c.,Wishon,58.6,591,,  0.929 ,  0.879 ,0.904 ,25MU,0.02093485,0.866,104.39%,,0.105,0.2,,,
4.49,T.c.,Wishon,58.6,591,,  0.929 ,  0.879 ,0.904 ,50MU,0.0418697,1.234,73.26%,,0.209,,,,
4.49,T.c.,Wishon,58.6,591,,  0.929 ,  0.879 ,0.904 ,100MU,0.0837394,3.452,26.19%,,0.419,,,,
4.49,T.c.,Wishon,58.6,591,,  0.929 ,  0.879 ,0.904 ,200MU,0.1674788,5.14,17.59%,,0.837,,,,
4.50,T.c.,Wishon,57.3,526,,  0.936 ,  0.753 ,0.845 ,1MU,0.000818817,0.837,100.90%,,0.082,,88,,
4.50,T.c.,Wishon,57.3,526,,  0.936 ,  0.753 ,0.845 ,3MU,0.002456451,0.837,100.90%,,0.049,0.05,,,
4.50,T.c.,Wishon,57.3,526,,  0.936 ,  0.753 ,0.845 ,6MU,0.004912902,0.948,89.08%,,0.098,,,,
4.50,T.c.,Wishon,57.3,526,,  0.936 ,  0.753 ,0.845 ,10MU,0.00818817,0.923,91.50%,,0.164,,,,
4.50,T.c.,Wishon,57.3,526,,  0.936 ,  0.753 ,0.845 ,25MU,0.020470425,0.959,88.06%,,0.102,0.2,,,
4.50,T.c.,Wishon,57.3,526,,  0.936 ,  0.753 ,0.845 ,50MU,0.04094085,1.484,56.91%,,0.205,,,,
4.50,T.c.,Wishon,57.3,526,,  0.936 ,  0.753 ,0.845 ,100MU,0.0818817,1.766,47.82%,,0.409,,,,
4.50,T.c.,Wishon,57.3,526,,  0.936 ,  0.753 ,0.845 ,200MU,0.1637634,2.102,40.18%,,0.819,,,,
4.52,T.c.,Coy Flat,75.7,572,,  0.686 ,  0.715 ,0.701 ,1MU,0.001081753,0.8,87.56%,,0.108,,70.5,,
4.52,T.c.,Coy Flat,75.7,572,,  0.686 ,  0.715 ,0.701 ,3MU,0.003245259,0.743,94.28%,,0.065,0.05,,,
4.52,T.c.,Coy Flat,75.7,572,,  0.686 ,  0.715 ,0.701 ,6MU,0.006490518,0.722,97.02%,,0.130,,,,
4.52,T.c.,Coy Flat,75.7,572,,  0.686 ,  0.715 ,0.701 ,10MU,0.01081753,0.782,89.58%,,0.216,,,,
4.52,T.c.,Coy Flat,75.7,572,,  0.686 ,  0.715 ,0.701 ,25MU,0.027043825,0.807,86.80%,,0.135,0.2,,,
4.52,T.c.,Coy Flat,75.7,572,,  0.686 ,  0.715 ,0.701 ,50MU,0.05408765,1.084,64.62%,,0.270,,,,
4.52,T.c.,Coy Flat,75.7,572,,  0.686 ,  0.715 ,0.701 ,100MU,0.1081753,2.433,28.79%,,0.541,,,,
4.52,T.c.,Coy Flat,75.7,572,,  0.686 ,  0.715 ,0.701 ,200MU,0.2163506,5.535,12.66%,,1.082,,,,
4.53,T.c.,Grizzly Flat,34.9,435,,  0.770 ,  0.731 ,0.751 ,1MU,0.000498721,1.072,70.01%,,0.050,,47.7,,
4.53,T.c.,Grizzly Flat,34.9,435,,  0.770 ,  0.731 ,0.751 ,3MU,0.001496163,0.545,137.71%,,0.150,,,,
4.53,T.c.,Grizzly Flat,34.9,435,,  0.770 ,  0.731 ,0.751 ,6MU,0.002992326,1.085,69.17%,,0.060,,,,
4.53,T.c.,Grizzly Flat,34.9,435,,  0.770 ,  0.731 ,0.751 ,10MU,0.00498721,0.79,95.00%,,0.100,,,,
4.53,T.c.,Grizzly Flat,34.9,435,,  0.770 ,  0.731 ,0.751 ,25MU,0.012468025,1.128,66.53%,,0.062,0.2,,,
